Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Region,State,City,Product_ID,Product_Name,Category,Sub_Category,Sales,Quantity,Discount,Profit,Shipping_Cost,Payment_Mode,Order_Priority
ORD-10000,2022-01-01,2022-01-03,CUST-202,Customer_220,Consumer,South,Texas,Miami,PROD-5497,Monitor,Office Supplies,Chairs,2932.67,5,0.3,-293.27,78.29,Credit Card,Medium
ORD-10001,2022-01-02,2022-01-04,CUST-535,Customer_75,Consumer,South,California,Los Angeles,PROD-8933,Phone,Office Supplies,Accessories,4931.03,6,0.21,-49.31,69.76,UPI,Low
ORD-10002,2022-01-03,2022-01-05,CUST-960,Customer_4,Home Office,East,California,Chicago,PROD-3135,Laptop,Technology,Accessories,3200.32,3,0.15,160.02,29.23,UPI,High
ORD-10003,2022-01-04,2022-01-06,CUST-370,Customer_134,Consumer,Central,Illinois,Chicago,PROD-7727,Printer,Technology,Accessories,4178.85,4,0.03,710.4,39.78,UPI,Medium
ORD-10004,2022-01-05,2022-01-07,CUST-206,Customer_118,Corporate,East,New York,Miami,PROD-2565,Storage Box,Furniture,Chairs,4008.83,3,0.25,-200.44,36.13,UPI,High
ORD-10005,2022-01-06,2022-01-08,CUST-171,Customer_94,Home Office,South,California,Los Angeles,PROD-1308,Laptop,Furniture,Tables,1760.03,2,0.23,-52.8,16.18,UPI,High
ORD-10006,2022-01-07,2022-01-09,CUST-800,Customer_62,Corporate,Central,California,Los Angeles,PROD-9534,Printer,Office Supplies,Tables,1335.07,9,0.11,120.16,76.84,Credit Card,Medium
ORD-10007,2022-01-08,2022-01-10,CUST-120,Customer_194,Home Office,West,Florida,Miami,PROD-9627,Desk,Technology,Storage,2180.94,1,0.36,-348.95,35.32,COD,Low
ORD-10008,2022-01-09,2022-01-11,CUST-714,Customer_203,Consumer,Central,Florida,Houston,PROD-9368,Phone,Office Supplies,Tables,2362.84,2,0.12,189.03,70.65,COD,Medium
ORD-10009,2022-01-10,2022-01-12,CUST-221,Customer_26,Home Office,South,California,Chicago,PROD-1138,Laptop,Furniture,Tables,1238.42,8,0.18,24.77,19.2,UPI,Medium
ORD-10010,2022-01-11,2022-01-13,CUST-566,Customer_173,Corporate,Central,Illinois,Chicago,PROD-1193,Desk,Furniture,Accessories,4478.26,7,0.22,-89.57,46.09,COD,Medium
ORD-10011,2022-01-12,2022-01-14,CUST-314,Customer_133,Consumer,East,California,New York City,PROD-4257,Printer,Office Supplies,Phones,2735.61,1,0.04,437.7,6.8,COD,High
ORD-10012,2022-01-13,2022-01-15,CUST-430,Customer_118,Home Office,West,Texas,Miami,PROD-4235,Laptop,Furniture,Tables,4893.3,5,0.37,-831.86,62.32,COD,Low
ORD-10013,2022-01-14,2022-01-16,CUST-558,Customer_275,Home Office,West,New York,New York City,PROD-1942,Storage Box,Technology,Tables,4059.59,6,0.15,202.98,48.57,UPI,Low
ORD-10014,2022-01-15,2022-01-17,CUST-187,Customer_212,Home Office,West,Illinois,New York City,PROD-5620,Laptop,Office Supplies,Chairs,2800.74,5,0.03,476.13,51.92,UPI,High
ORD-10015,2022-01-16,2022-01-18,CUST-472,Customer_225,Corporate,South,Texas,Los Angeles,PROD-6720,Desk,Technology,Storage,4737.85,4,0.15,236.89,8.88,Credit Card,Low
